religion,quoteID,date,topic
Judaism,2018-01-19-052766,2018-01-19 05:54:29,politics
Islam,2018-10-18-060557,2018-10-18 08:00:09,television
Catholic Church,2018-05-22-067750,2018-05-22 16:14:11,business
other,2018-11-13-071028,2018-11-13 15:23:36,movies
atheism,2018-04-10-081260,2018-04-10 19:14:50,books
Baptists,2018-05-09-094335,2018-05-09 17:20:30,politics
other,2018-11-01-098440,2018-11-01 09:00:12,politics
atheism,2018-07-04-058954,2018-07-04 09:00:11,books
Judaism,2018-01-24-116290,2018-01-24 19:53:11,politics
other,2018-05-02-136236,2018-05-02 18:33:50,music
atheism,2018-06-11-095711,2018-06-11 19:00:04,review
other,2018-12-19-125154,2018-12-19 04:45:28,business
other,2018-03-19-003030,2018-03-19 21:02:10,politics
Presbyterianism,2018-10-10-018591,2018-10-10 22:43:49,politics
other,2018-03-13-050919,2018-03-13 13:31:58,media
Judaism,2018-10-03-048491,2018-10-03 21:37:19,politics
Catholic Church,2018-09-07-049167,2018-09-07 21:43:58,americas
atheism,2018-04-17-084406,2018-04-17 05:00:04,television
other,2018-06-01-073711,2018-06-01 12:25:41,europe
atheism,2018-07-23-091361,2018-07-23 06:59:03,sports
Judaism,2018-06-29-103936,2018-06-29 12:11:51,middleeast
other,2018-10-08-075847,2018-10-08 00:22:43,politics
Catholic Church,2018-10-09-129312,2018-10-09 08:39:03,television
Catholic Church,2018-08-17-004702,2018-08-17 09:00:18,us
Catholic Church,2018-03-17-004927,2018-03-17 15:57:00,europe
Catholic Church,2018-12-13-038797,2018-12-13 18:27:34,politics
Catholic Church,2018-03-03-039944,2018-03-03 00:35:54,us
Catholic Church,2018-03-02-083138,2018-03-02 04:45:34,europe
Catholic Church,2018-07-25-071522,2018-07-25 18:34:11,obituaries
other,2018-05-22-120793,2018-05-22 19:44:37,opinion
Catholic Church,2018-01-16-133166,2018-01-16 00:05:46,politics
Catholic Church,2018-09-19-036590,2018-09-19 09:30:03,tennis
Catholic Church,2018-03-20-049911,2018-03-20 23:10:14,tennis
atheism,2018-05-14-057730,2018-05-14 09:00:01,style
other,2018-08-28-069865,2018-08-28 14:14:54,middleeast
other,2018-07-17-064963,2018-07-17 15:23:55,politics
Catholic Church,2018-06-12-082421,2018-06-12 00:48:04,business
Catholic Church,2018-06-25-095557,2018-06-25 18:14:44,politics
Presbyterianism,2018-08-08-115161,2018-08-08 02:02:23,politics
Catholic Church,2018-12-19-002802,2018-12-19 22:26:38,review
other,2018-05-09-036474,2018-05-09 18:38:15,opinion
Presbyterianism,2018-10-24-037006,2018-10-24 16:45:35,politics
Presbyterianism,2018-02-14-047095,2018-02-14 18:41:57,middleeast
other,2018-05-01-066771,2018-05-01 17:15:20,europe
atheism,2018-06-13-064323,2018-06-13 20:02:25,europe
Catholic Church,2018-08-05-036192,2018-08-05 15:00:48,nyregion
Presbyterianism,2018-10-19-096798,2018-10-19 06:10:03,americas
Catholic Church,2018-11-27-123054,2018-11-27 22:03:09,europe
Presbyterianism,2018-10-06-068417,2018-10-06 16:08:30,politics
Christianity,2018-05-22-079771,2018-05-22 08:57:03,television
atheism,2018-08-22-062504,2018-08-22 00:40:08,media
Presbyterianism,2018-02-12-141182,2018-02-12 00:32:22,opinion
Presbyterianism,2018-08-14-110540,2018-08-14 18:18:17,obituaries
Methodism,2018-02-10-090428,2018-02-10 11:00:25,style
Presbyterianism,2018-11-07-006221,2018-11-07 19:40:06,media
other,2018-03-13-013230,2018-03-13 23:20:07,politics
Presbyterianism,2018-05-06-008311,2018-05-06 06:33:53,television
Catholic Church,2018-11-13-075397,2018-11-13 16:05:01,opinion
Judaism,2018-08-21-069828,2018-08-21 20:21:27,briefing
other,2018-06-20-096631,2018-06-20 18:29:36,asia
Christianity,2018-02-06-113340,2018-02-06 10:25:39,television
Catholic Church,2018-10-04-115117,2018-10-04 19:56:08,opinion
other,2018-02-12-120829,2018-02-12 03:38:23,tennis
Methodism,2018-02-15-166695,2018-02-15 09:44:26,us
other,2018-01-19-002408,2018-01-19 10:00:22,review
other,2018-05-15-019893,2018-05-15 19:00:05,opinion
Judaism,2018-07-25-056167,2018-07-25 09:00:02,magazine
other,2017-05-07-044942,2017-05-07 22:25:25,europe
Catholic Church,2017-05-25-090070,2017-05-25 07:21:08,opinion
Catholic Church,2017-10-25-114734,2017-10-25 11:44:26,opinion
Judaism,2017-12-19-088921,2017-12-19 23:33:29,politics
Catholic Church,2017-07-20-114002,2017-07-20 21:46:33,nyregion
Catholic Church,2017-03-17-085282,2017-03-17 08:47:34,television
Christianity,2017-03-29-129165,2017-03-29 17:41:11,politics
Methodism,2017-03-10-125577,2017-03-10 02:09:30,politics
Islam,2017-03-20-042613,2017-03-20 16:36:44,fashion
Judaism,2017-06-24-066707,2017-06-24 19:40:34,sunday
Presbyterianism,2017-04-12-046787,2017-04-12 12:23:56,middleeast
Catholic Church,2017-06-07-152545,2017-06-07 09:00:19,magazine
Judaism,2017-10-03-055984,2017-10-03 22:27:47,politics
other,2017-05-05-003964,2017-05-05 00:59:17,us
other,2017-02-12-005361,2017-02-12 23:59:14,politics
atheism,2017-09-26-077346,2017-09-26 09:43:20,television
Catholic Church,2017-05-25-070236,2017-05-25 04:00:32,style
Islam,2017-08-08-029409,2017-08-08 18:11:05,books
other,2017-12-13-092227,2017-12-13 19:55:48,middleeast
Baptists,2017-09-13-121586,2017-09-13 01:05:07,asia
Catholic Church,2017-11-15-041879,2017-11-15 19:57:03,africa
Presbyterianism,2017-09-23-059155,2017-09-23 02:58:22,politics
other,2017-03-10-100449,2017-03-10 12:33:13,opinion
atheism,2017-11-27-095445,2017-11-27 23:53:01,business
other,2017-05-21-063798,2017-05-21 15:51:26,europe
Catholic Church,2017-02-24-089745,2017-02-24 23:21:27,europe
Catholic Church,2017-12-05-092791,2017-12-05 00:05:55,nyregion
Baptists,2017-08-04-005712,2017-08-04 10:20:34,africa
atheism,2017-11-21-013101,2017-11-21 19:25:14,obituaries
other,2017-04-28-139526,2017-04-28 12:04:56,opinion
atheism,2017-08-17-044743,2017-08-17 23:10:06,us
Islam,2017-09-21-155430,2017-09-21 00:10:08,asia
Catholic Church,2017-08-04-142896,2017-08-04 00:16:06,americas
Catholic Church,2017-04-22-029966,2017-04-22 16:17:11,europe
Catholic Church,2017-09-16-102932,2017-09-16 18:30:00,sunday
Christianity,2017-08-31-068903,2017-08-31 22:44:15,business
Judaism,2017-04-18-042284,2017-04-18 19:58:41,politics
other,2017-08-06-005117,2017-08-06 15:57:00,asia
Judaism,2017-09-06-019472,2017-09-06 20:08:10,opinion
Presbyterianism,2017-10-06-097609,2017-10-06 13:30:30,opinion
Methodism,2017-11-22-104984,2017-11-22 10:00:01,magazine
other,2017-09-02-058742,2017-09-02 18:30:21,sunday
Presbyterianism,2017-08-16-071249,2017-08-16 02:04:31,opinion
other,2017-06-14-132104,2017-06-14 17:05:59,business
Judaism,2017-10-09-071952,2017-10-09 17:06:52,books
Judaism,2017-06-13-082414,2017-06-13 09:00:23,politics
other,2017-11-29-016838,2017-11-29 22:56:07,nyregion
Catholic Church,2017-04-15-061741,2017-04-15 01:19:36,media
Baptists,2017-09-09-016220,2017-09-09 16:52:02,nyregion
Presbyterianism,2017-05-11-131441,2017-05-11 00:59:20,opinion
Catholic Church,2017-10-13-008163,2017-10-13 09:13:42,television
Catholic Church,2017-02-18-005826,2017-02-18 10:00:20,us
Catholic Church,2017-04-25-062694,2017-04-25 01:40:04,politics
Anglicanism,2017-11-22-124256,2017-11-22 15:48:44,europe
Presbyterianism,2017-04-17-085249,2017-04-17 07:21:25,opinion
Catholic Church,2017-12-23-059275,2017-12-23 00:39:18,americas
Catholic Church,2017-07-26-096453,2017-07-26 03:38:34,politics
other,2017-08-17-096089,2017-08-17 15:38:00,europe
other,2017-04-07-158021,2017-04-07 19:15:01,politics
Catholic Church,2017-12-08-003020,2017-12-08 10:45:28,opinion
Baptists,2017-06-05-089489,2017-06-05 21:57:59,politics
Presbyterianism,2017-02-28-029538,2017-02-28 10:00:19,politics
Catholic Church,2017-07-27-048820,2017-07-27 09:05:06,television
other,2017-07-20-152188,2017-07-20 13:33:03,asia
other,2017-09-20-064787,2017-09-20 00:21:48,politics
other,2017-05-24-012388,2017-05-24 20:39:45,politics
Presbyterianism,2017-08-12-006936,2017-08-12 18:30:13,sunday
other,2017-09-22-015198,2017-09-22 12:58:21,us
Anglicanism,2017-02-12-028645,2017-02-12 19:33:54,nyregion
other,2017-03-02-025433,2017-03-02 01:28:19,technology
Presbyterianism,2017-02-15-027249,2017-02-15 10:00:18,politics
Methodism,2017-08-02-116784,2017-08-02 20:50:00,politics
Catholic Church,2017-10-14-029029,2017-10-14 18:39:36,sunday
Judaism,2017-10-28-032108,2017-10-28 17:11:25,asia
Christianity,2017-11-29-051172,2017-11-29 23:39:16,europe
other,2017-12-17-064813,2017-12-17 19:43:43,nyregion
Presbyterianism,2017-11-01-147829,2017-11-01 12:11:52,politics
Presbyterianism,2017-07-06-084173,2017-07-06 12:11:12,europe
Methodism,2017-03-29-019946,2017-03-29 20:46:28,politics
Catholic Church,2017-03-25-016927,2017-03-25 16:21:31,politics
Islam,2017-08-01-144583,2017-08-01 16:26:53,asia
Presbyterianism,2017-05-01-117832,2017-05-01 09:00:19,politics
Catholic Church,2017-11-28-044705,2017-11-28 10:00:33,magazine
Judaism,2017-12-13-057439,2017-12-13 23:16:46,opinion
other,2017-03-29-061211,2017-03-29 23:39:44,europe
other,2017-08-22-060253,2017-08-22 06:53:02,asia
Presbyterianism,2017-02-28-001587,2017-02-28 10:00:19,politics
other,2017-05-17-080648,2017-05-17 09:00:24,us
other,2017-06-04-013833,2017-06-04 08:37:09,europe
other,2017-08-09-032974,2017-08-09 21:48:28,politics
Catholic Church,2017-11-29-036601,2017-11-29 23:36:39,politics
Judaism,2017-12-21-094604,2017-12-21 20:33:44,politics
other,2017-03-04-014398,2017-03-04 19:30:01,sunday
atheism,2017-12-13-048996,2017-12-13 10:00:15,movies
other,2017-08-03-058265,2017-08-03 11:13:39,asia
other,2017-03-07-108880,2017-03-07 18:47:48,politics
Judaism,2017-12-05-154640,2017-12-05 21:00:43,politics
Catholic Church,2017-07-15-073639,2017-07-15 19:41:21,us
Catholic Church,2017-05-10-158985,2017-05-10 09:12:34,television
Catholic Church,2017-09-21-003537,2017-09-21 15:51:18,asia
Catholic Church,2017-04-15-003771,2017-04-15 00:05:37,politics
Anglicanism,2017-08-17-013450,2017-08-17 14:58:31,nyregion
Catholic Church,2017-08-17-022490,2017-08-17 03:26:29,asia
Presbyterianism,2017-08-22-025043,2017-08-22 07:38:19,asia
atheism,2017-08-14-116651,2017-08-14 07:21:00,opinion
Judaism,2017-03-18-011024,2017-03-18 15:21:23,politics
Catholic Church,2017-06-16-026794,2017-06-16 20:52:56,us
Judaism,2017-10-09-117790,2017-10-09 11:09:51,dealbook
Catholic Church,2017-03-19-016629,2017-03-19 16:41:02,politics
Presbyterianism,2017-02-19-039409,2017-02-19 02:55:14,politics
Judaism,2017-11-29-140348,2017-11-29 10:00:22,arts
other,2017-04-27-164806,2017-04-27 21:27:01,us
Catholic Church,2017-07-29-034167,2017-07-29 10:00:15,style
Methodism,2017-09-20-182366,2017-09-20 17:25:38,media
other,2017-06-15-061821,2017-06-15 04:01:13,music
atheism,2017-03-14-056373,2017-03-14 21:41:31,music
other,2017-04-19-081662,2017-04-19 22:27:24,europe
Catholic Church,2017-03-27-016116,2017-03-27 16:34:50,europe
Anglicanism,2017-09-03-010561,2017-09-03 20:38:02,europe
Presbyterianism,2017-11-03-098717,2017-11-03 23:20:03,politics
atheism,2017-08-21-036327,2017-08-21 13:43:54,us
other,2017-12-19-094731,2017-12-19 10:00:23,review
other,2017-03-31-063921,2017-03-31 09:00:02,politics
other,2017-09-06-084570,2017-09-06 18:10:02,asia
other,2017-05-05-143722,2017-05-05 21:31:32,us
other,2017-05-03-093761,2017-05-03 19:21:26,europe
Presbyterianism,2017-03-22-107764,2017-03-22 17:45:22,media
Catholic Church,2017-04-30-060764,2017-04-30 18:15:37,politics
Catholic Church,2017-09-07-018950,2017-09-07 17:52:15,americas
Catholic Church,2017-05-09-039497,2017-05-09 04:58:55,asia
other,2017-03-21-051144,2017-03-21 07:21:21,opinion
Methodism,2017-05-02-151947,2017-05-02 18:42:32,us
other,2017-04-14-001414,2017-04-14 12:23:38,opinion
Catholic Church,2017-02-18-024334,2017-02-18 03:30:47,opinion
other,2017-05-23-063129,2017-05-23 09:00:01,magazine
other,2017-09-27-018469,2017-09-27 21:01:11,us
Catholic Church,2017-05-27-039331,2017-05-27 00:20:14,nyregion
Christianity,2017-05-03-035792,2017-05-03 09:04:43,television
other,2017-04-27-113282,2017-04-27 20:36:32,nyregion
other,2017-05-05-046514,2017-05-05 09:00:25,politics
Judaism,2017-10-15-065626,2017-10-15 13:35:02,business
Catholic Church,2017-02-19-018755,2017-02-19 01:40:38,politics
atheism,2017-11-29-064574,2017-11-29 15:09:47,asia
Judaism,2017-03-13-077253,2017-03-13 19:00:44,opinion
other,2017-11-30-092418,2017-11-30 18:23:48,politics
Judaism,2017-12-01-091131,2017-12-01 18:01:30,politics
Judaism,2017-03-29-022450,2017-03-29 09:00:36,us
Judaism,2017-12-28-018780,2017-12-28 10:00:18,review
Judaism,2017-08-29-027235,2017-08-29 00:21:10,politics
Presbyterianism,2017-06-20-126196,2017-06-20 00:53:02,technology
Catholic Church,2017-04-05-165903,2017-04-05 21:45:08,arts
Catholic Church,2017-02-24-011934,2017-02-24 16:08:16,nyregion
Catholic Church,2017-03-16-063464,2017-03-16 07:21:24,opinion
Christianity,2017-12-20-072866,2017-12-20 10:16:07,television
Catholic Church,2017-11-18-044187,2017-11-18 10:00:22,nyregion
Presbyterianism,2017-05-17-083671,2017-05-17 22:01:33,opinion
Catholic Church,2017-06-04-012532,2017-06-04 15:04:25,sunday
other,2017-06-08-094607,2017-06-08 19:37:29,dealbook
Judaism,2017-02-06-035265,2017-02-06 00:07:09,movies
Catholic Church,2017-06-16-127917,2017-06-16 18:05:36,media
Catholic Church,2017-08-02-157697,2017-08-02 07:01:07,europe
Judaism,2017-12-01-069270,2017-12-01 23:47:55,obituaries
Catholic Church,2017-10-31-077738,2017-10-31 09:27:37,television
Christianity,2017-06-09-089205,2017-06-09 08:56:16,television
other,2017-08-09-022726,2017-08-09 08:07:48,europe
Catholic Church,2017-08-09-132505,2017-08-09 17:31:41,us
other,2017-06-08-131086,2017-06-08 19:37:29,dealbook
Judaism,2017-05-30-118272,2017-05-30 09:45:19,review
Presbyterianism,2017-09-07-136929,2017-09-07 07:21:01,opinion
other,2017-11-29-127867,2017-11-29 17:33:11,politics
Methodism,2017-07-24-141694,2017-07-24 22:52:51,politics
other,2017-07-28-163145,2017-07-28 01:18:10,middleeast
other,2017-10-15-034805,2017-10-15 19:29:52,asia
Judaism,2017-12-15-003713,2017-12-15 18:20:32,politics
Catholic Church,2017-02-19-020894,2017-02-19 06:00:14,television
other,2017-10-26-094718,2017-10-26 16:37:19,politics
other,2017-05-14-044385,2017-05-14 23:18:44,us
Catholic Church,2017-06-09-041134,2017-06-09 00:00:00,sunday
other,2017-10-23-070116,2017-10-23 14:32:34,asia
other,2017-05-09-088106,2017-05-09 05:10:30,asia
Anglicanism,2017-09-02-081027,2017-09-02 12:03:52,europe
Judaism,2017-09-24-054167,2017-09-24 23:15:47,sports
Catholic Church,2017-03-16-093293,2017-03-16 16:27:32,business
Judaism,2017-02-27-012317,2017-02-27 19:41:36,politics
Christianity,2017-05-17-119234,2017-05-17 17:25:56,fashion
other,2017-07-06-122589,2017-07-06 21:42:42,us
Catholic Church,2017-05-22-035767,2017-05-22 23:16:22,tennis
other,2017-04-24-132371,2017-04-24 05:08:33,asia
Judaism,2017-02-27-090653,2017-02-27 20:44:10,politics
Islam,2017-04-06-179161,2017-04-06 23:49:25,middleeast
other,2017-04-05-006275,2017-04-05 00:46:57,opinion
other,2017-09-13-087456,2017-09-13 21:13:10,books
Presbyterianism,2017-06-15-082947,2017-06-15 17:17:37,politics
Methodism,2018-04-15-085935,2018-04-15 22:00:03,us
other,2018-09-07-127571,2018-09-07 22:47:09,fashion
other,2018-12-11-126287,2018-12-11 19:56:14,politics
Judaism,2018-09-07-002072,2018-09-07 14:18:57,review
Catholic Church,2018-03-29-006696,2018-03-29 22:18:36,politics
Catholic Church,2018-12-13-046728,2018-12-13 00:48:56,business
Catholic Church,2018-05-29-048529,2018-05-29 17:08:46,politics
Presbyterianism,2018-07-14-035305,2018-07-14 12:48:18,politics
Catholic Church,2018-03-17-058678,2018-03-17 15:57:00,europe
other,2018-10-26-120712,2018-10-26 19:04:29,asia
Catholic Church,2018-08-03-101381,2018-08-03 20:33:44,americas
Catholic Church,2018-11-27-123038,2018-11-27 08:00:05,nyregion
Catholic Church,2018-07-10-107339,2018-07-10 22:56:36,nyregion
atheism,2018-10-05-134882,2018-10-05 09:00:06,review
other,2018-01-24-062107,2018-01-24 07:27:54,tennis
Catholic Church,2018-12-07-053426,2018-12-07 15:30:43,review
Judaism,2018-11-28-069291,2018-11-28 01:04:56,politics
Catholic Church,2018-10-03-077797,2018-10-03 21:39:31,europe
Catholic Church,2018-10-31-088110,2018-10-31 13:01:20,politics
other,2018-07-12-069266,2018-07-12 11:44:22,europe
Catholic Church,2018-08-22-059953,2018-08-22 09:00:02,magazine
Catholic Church,2018-12-22-039136,2018-12-22 17:33:58,politics
Methodism,2018-06-06-123172,2018-06-06 03:05:26,us
Catholic Church,2018-09-26-140399,2018-09-26 09:00:06,us
other,2018-12-08-068835,2018-12-08 11:26:20,europe
Judaism,2018-08-16-004510,2018-08-16 09:00:05,review
other,2018-09-29-002458,2018-09-29 01:10:57,opinion
Presbyterianism,2018-12-11-005836,2018-12-11 10:00:03,magazine
Catholic Church,2018-03-22-008013,2018-03-22 11:12:23,us
other,2018-07-19-014778,2018-07-19 17:06:08,europe
Catholic Church,2018-08-18-008500,2018-08-18 12:22:30,politics
Anglicanism,2018-09-18-038508,2018-09-18 01:34:18,politics
Presbyterianism,2018-11-17-024876,2018-11-17 16:24:18,politics
other,2018-01-10-066518,2018-01-10 15:54:56,style
Catholic Church,2018-11-20-115937,2018-11-20 01:01:36,politics
Catholic Church,2018-03-11-099909,2018-03-11 17:55:38,us
Christianity,2018-09-05-003097,2018-09-05 08:53:55,television
Catholic Church,2018-10-31-019589,2018-10-31 14:38:56,politics
Catholic Church,2018-09-12-033363,2018-09-12 09:00:08,review
other,2018-06-25-032527,2018-06-25 08:00:05,music
Presbyterianism,2018-12-11-051376,2018-12-11 10:00:03,magazine
Judaism,2018-10-02-056868,2018-10-02 22:53:47,us
Islam,2018-06-15-059617,2018-06-15 15:00:04,theater
Anglicanism,2018-02-21-089252,2018-02-21 10:00:26,theater
Judaism,2018-09-19-073672,2018-09-19 19:01:37,opinion
Judaism,2018-01-31-140818,2018-01-31 17:41:05,politics
other,2018-08-26-061870,2018-08-26 09:30:03,opinion
Presbyterianism,2018-12-08-009691,2018-12-08 01:37:02,politics
atheism,2018-04-28-021396,2018-04-28 10:00:01,style
Islam,2018-07-13-070831,2018-07-13 08:21:03,europe
Judaism,2018-09-20-101888,2018-09-20 05:00:03,television
Christianity,2018-05-17-120328,2018-05-17 13:00:05,politics
Presbyterianism,2018-06-29-120199,2018-06-29 00:29:01,politics
other,2018-04-27-163146,2018-04-27 09:45:03,opinion
other,2018-01-24-008024,2018-01-24 22:45:22,business
Catholic Church,2018-03-15-043485,2018-03-15 22:12:46,politics
Baptists,2018-12-15-033310,2018-12-15 01:09:50,politics
Presbyterianism,2018-10-25-095508,2018-10-25 09:43:14,briefing
Presbyterianism,2018-09-04-077779,2018-09-04 16:31:38,politics
Catholic Church,2018-09-25-112918,2018-09-25 21:12:09,europe
Presbyterianism,2018-04-10-130543,2018-04-10 00:24:43,politics
other,2018-10-13-070872,2018-10-13 21:16:49,politics
other,2018-10-30-141445,2018-10-30 09:00:09,politics
Catholic Church,2018-01-22-002045,2018-01-22 17:13:48,politics
other,2018-04-05-021920,2018-04-05 09:00:24,middleeast
Catholic Church,2018-09-03-014941,2018-09-03 21:48:52,europe
Presbyterianism,2018-10-26-026221,2018-10-26 22:47:24,americas
Presbyterianism,2018-08-22-020332,2018-08-22 14:10:15,politics
other,2018-11-26-031651,2018-11-26 10:00:13,politics
other,2018-11-01-047625,2018-11-01 09:00:15,politics
Catholic Church,2018-08-13-038797,2018-08-13 09:29:45,briefing
Anglicanism,2018-11-23-039110,2018-11-23 17:19:11,europe
other,2018-02-26-063878,2018-02-26 22:58:38,europe
Judaism,2018-12-20-068247,2018-12-20 20:00:03,opinion
Christianity,2018-06-15-073220,2018-06-15 16:07:02,style
atheism,2018-03-15-117614,2018-03-15 05:02:47,briefing
other,2018-08-11-047585,2018-08-11 08:35:53,asia
other,2018-06-19-125211,2018-06-19 18:34:38,politics
Catholic Church,2018-10-19-003537,2018-10-19 19:47:12,nyregion
other,2018-10-30-039477,2018-10-30 16:07:10,politics
Catholic Church,2018-06-28-037701,2018-06-28 00:28:00,nyregion
Judaism,2018-11-27-050741,2018-11-27 21:40:43,politics
Presbyterianism,2018-07-17-057109,2018-07-17 18:41:42,europe
Anglicanism,2018-03-30-085094,2018-03-30 15:15:38,business
other,2018-12-21-088984,2018-12-21 15:20:05,asia
other,2018-09-06-104118,2018-09-06 18:08:18,europe
other,2018-09-14-119811,2018-09-14 17:32:51,movies
other,2018-12-24-067325,2018-12-24 05:40:12,briefing
Catholic Church,2018-04-12-025016,2018-04-12 09:02:37,television
Baptists,2018-01-23-051595,2018-01-23 18:01:04,obituaries
Catholic Church,2018-01-21-035080,2018-01-21 17:43:24,politics
Catholic Church,2018-03-14-087999,2018-03-14 09:05:45,television
Catholic Church,2018-10-02-075398,2018-10-02 09:45:03,opinion
Presbyterianism,2018-05-14-095953,2018-05-14 14:55:06,business
Presbyterianism,2018-02-18-012056,2018-02-18 20:28:02,politics
Judaism,2018-07-16-028583,2018-07-16 10:00:01,nyregion
Catholic Church,2018-10-28-020206,2018-10-28 17:05:07,obituaries
Judaism,2018-10-31-044759,2018-10-31 18:32:03,us
other,2018-11-28-047647,2018-11-28 10:00:03,magazine
Anglicanism,2018-09-04-068485,2018-09-04 04:53:43,sports
other,2018-06-19-076695,2018-06-19 18:23:59,style
other,2018-11-06-086766,2018-11-06 16:13:00,politics
Christianity,2018-07-12-102708,2018-07-12 17:43:49,europe
Christianity,2018-03-28-166253,2018-03-28 19:20:56,africa
other,2018-03-13-164434,2018-03-13 23:20:07,politics
other,2018-12-17-010549,2018-12-17 19:23:44,politics
Catholic Church,2018-07-11-012055,2018-07-11 23:59:05,politics
Catholic Church,2018-09-11-020762,2018-09-11 15:30:05,opinion
other,2018-10-23-058653,2018-10-23 09:00:14,us
Methodism,2018-04-24-074668,2018-04-24 09:00:06,magazine
Catholic Church,2018-09-03-040475,2018-09-03 09:00:06,sports
other,2018-12-22-031697,2018-12-22 16:04:12,opinion
other,2018-09-21-079645,2018-09-21 13:52:21,middleeast
Presbyterianism,2018-01-14-061849,2018-01-14 14:26:21,books
Catholic Church,2018-09-21-112618,2018-09-21 08:37:30,television
Anglicanism,2018-05-17-152608,2018-05-17 09:00:10,us
other,2018-10-21-072165,2018-10-21 18:54:41,middleeast
Anglicanism,2018-08-27-032173,2018-08-27 14:00:11,books
Catholic Church,2018-03-15-067527,2018-03-15 23:21:58,opinion
Presbyterianism,2018-08-11-022268,2018-08-11 00:54:16,opinion
Catholic Church,2018-06-20-098271,2018-06-20 08:40:27,television
other,2018-11-03-067961,2018-11-03 14:30:08,politics
other,2018-04-06-145516,2018-04-06 13:05:56,us
Catholic Church,2018-06-28-133496,2018-06-28 09:35:21,briefing
Presbyterianism,2018-04-12-015809,2018-04-12 01:17:02,politics
other,2018-11-28-033445,2018-11-28 10:00:03,magazine
other,2018-06-25-034548,2018-06-25 08:00:05,music
other,2018-06-07-051475,2018-06-07 17:55:38,music
Catholic Church,2018-12-06-062672,2018-12-06 15:21:38,us
Catholic Church,2018-01-10-070081,2018-01-10 16:00:33,arts
atheism,2018-05-14-075254,2018-05-14 09:00:01,style
other,2018-08-02-006038,2018-08-02 07:49:52,asia
Baptists,2018-05-04-022047,2018-05-04 23:03:21,politics
Islam,2018-02-21-051214,2018-02-21 10:00:01,magazine
Anglicanism,2018-03-19-057482,2018-03-19 23:35:43,politics
Catholic Church,2018-09-18-053627,2018-09-18 19:39:15,us
other,2018-05-17-083500,2018-05-17 21:59:59,briefing
Catholic Church,2018-10-11-117620,2018-10-11 21:30:04,politics
Catholic Church,2018-09-25-105519,2018-09-25 17:24:33,politics
Baptists,2018-08-01-099710,2018-08-01 23:40:49,media
Catholic Church,2018-05-19-000640,2018-05-19 23:44:13,politics
other,2018-06-24-015575,2018-06-24 09:52:56,middleeast
Islam,2018-01-15-044576,2018-01-15 21:42:08,asia
other,2018-12-01-047020,2018-12-01 15:18:53,europe
Methodism,2018-03-29-104026,2018-03-29 09:00:07,politics
Catholic Church,2018-03-27-113260,2018-03-27 22:59:10,opinion
Anglicanism,2018-04-01-064021,2018-04-01 16:04:02,middleeast
other,2018-07-18-002877,2018-07-18 10:00:18,opinion
Anglicanism,2018-10-10-030547,2018-10-10 19:55:41,obituaries
Presbyterianism,2018-11-09-028756,2018-11-09 19:13:16,magazine
other,2018-09-12-048014,2018-09-12 00:05:07,us
other,2018-07-16-048123,2018-07-16 18:57:47,politics
Presbyterianism,2018-11-09-070166,2018-11-09 15:48:09,politics
Catholic Church,2018-03-21-105975,2018-03-21 19:53:55,americas
Presbyterianism,2018-01-09-129343,2018-01-09 18:27:58,politics
Judaism,2018-12-21-114354,2018-12-21 10:00:07,nyregion
Catholic Church,2018-05-25-012826,2018-05-25 21:04:08,politics
Catholic Church,2018-04-24-057065,2018-04-24 09:00:06,magazine
Judaism,2018-10-31-070844,2018-10-31 01:58:15,politics
Anglicanism,2018-11-17-037021,2018-11-17 16:01:14,europe
Methodism,2018-01-17-081657,2018-01-17 00:18:13,politics
other,2018-08-23-097672,2018-08-23 09:00:11,us
Islam,2018-11-22-008604,2018-11-22 05:03:03,style
Judaism,2018-03-26-016466,2018-03-26 09:23:04,briefing
Baptists,2018-02-16-021688,2018-02-16 00:03:28,politics
other,2018-12-10-023557,2018-12-10 10:25:29,briefing
other,2018-07-29-020420,2018-07-29 04:03:06,asia
atheism,2018-05-22-057595,2018-05-22 12:31:14,asia
atheism,2018-11-02-105832,2018-11-02 05:00:03,opinion
other,2018-06-01-099957,2018-06-01 05:11:48,music
Catholic Church,2018-07-08-043165,2018-07-08 18:07:39,politics
Judaism,2018-11-19-046165,2018-11-19 00:31:44,politics
other,2018-12-07-074908,2018-12-07 22:54:38,obituaries
Presbyterianism,2018-03-14-125371,2018-03-14 18:47:59,europe
atheism,2018-03-30-129659,2018-03-30 17:35:55,theater
other,2018-09-22-067697,2018-09-22 02:40:14,politics
Presbyterianism,2018-01-30-158829,2018-01-30 10:06:24,television
Presbyterianism,2018-04-16-032496,2018-04-16 23:40:03,us
other,2018-10-10-046525,2018-10-10 09:00:06,magazine
Presbyterianism,2018-11-06-043099,2018-11-06 12:09:32,politics
Anglicanism,2018-11-13-091050,2018-11-13 19:00:11,review
atheism,2018-10-31-128438,2018-10-31 09:00:06,magazine
other,2018-01-08-112996,2018-01-08 04:56:14,movies
Catholic Church,2018-09-11-002936,2018-09-11 23:11:19,europe
other,2018-04-11-014453,2018-04-11 11:10:02,us
other,2018-11-30-028354,2018-11-30 18:47:29,politics
Presbyterianism,2018-09-26-037057,2018-09-26 23:34:08,asia
Catholic Church,2018-11-19-031886,2018-11-19 10:00:01,magazine
